ComID,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,HydroID,HISTO_0,HISTO_2,HISTO_5,HISTO_6,HISTO_7,HISTO_8,HISTO_11,HISTO_12,HISTO_13,HISTO_14,HISTO_15,HISTO_19,HISTO_20,HISTO_21,HISTO_22
"122986080","00211846",Washining Lake,"2.28800000000","223.00000000000","01100005002833","390","39010","201489289.000000","0","75114","106200","0","16250","9198","349067","2719","50246","23781","28452","525380","3470","1768698","32398"
"122986106","00208076",Indian Lake,"0.79200000000","629.00000000000","01100005002902","390","39010","201491371.000000","145994","13287","24026","0","19856","15034","51232","6452","1419","16076","41517","0","0","317527","66628"
"122972778","00209529",Ore Hill Pond,"0.04800000000","0.00000000000","01100005002873","390","39004","201490492.000000","0","11838","23416","0","0","6126","79763","5737","0","0","0","0","2679","47894","0"
"122945660","00210190",Riga Lake,"0.63100000000","533.00000000000","01100005002838","390","39010","201489673.000000","33146","4887","3853","0","0","8032","347663","10074","9279","1297","633","0","474","632650","24"
"122945662","00211001",South Pond,"0.55900000000","523.00000000000","01100005002848","390","39010","201489673.000000","52242","10355","7462","0","0","10092","455178","4360","3532","535","1345","0","2455","505054","0"
"122986085","00211827",Washinee Lake,"1.13500000000","223.00000000000","01100005002836","390","39010","201489184.000000","0","35452","49830","0","13030","21113","464123","3562","35657","24640","84923","781","3191","1120044","65616"
"122972770","00212226",Wononskopomuc Lake,"1.40900000000","724.00000000000","01100005002866","390","39010","201490320.000000","0","42187","102270","0","0","45700","248710","2038","0","0","0","0","5485","1407798","0"
"122972844","00205421",Beeslick Pond,"0.11000000000","816.00000000000","01100005002892","390","39010","201490751.000000","0","0","0","3072","3730","14821","38710","13902","0","2807","72649","0","0","107030","1385"
"122945654","00212858",Fisher Pond,"0.18400000000","0.00000000000","01100005002835","390","39004","201489455.000000","0","16216","28904","0","6432","5210","148107","981","3376","696","3380","0","739","188788","1973"
"122972817","01771344",Lake Tavolan,"0.10000000000","0.00000000000","01100005002879","390","39004","201490533.000000","0","0","390","0","9960","46114","78977","4693","0","0","0","0","0","102896","0"
"122972812","00212225",Wononpakook Lake,"0.67800000000","698.00000000000","01100005002881","390","39010","201490840.000000","0","8613","17197","0","0","11256","362773","5595","4316","1057","770","1368","2129","642311","36609"
"122968089","00212183",Lake Winchester,"1.00400000000","1249.00000000000","01100005002855","390","39010","201490469.000000","0","19273","17413","0","0","9123","620167","1526","22023","130","11451","0","3278","957475","55544"
"122986105","00209485",Old Man McMullen Pond,"0.07300000000","1511.00000000000","01100005002852","390","39010","201489774.000000","0","0","0","0","0","785","150024","137","3586","0","1349","0","0","78402","0"
"122986079","00212230",Wood Creek Pond,"0.60200000000","417.50000000000","01100005002831","390","39010","201489025.000000","0","2203","3564","0","0","7759","383780","2695","25268","36808","43248","0","0","524417","41712"
"122967999","00211483",Tobey Pond,"0.20100000000","1267.00000000000","01100005002843","390","39010","201489522.000000","0","1303","126","0","2117","4830","206621","479","2491","0","1329","0","0","199101","27"
"122968108","00209371",North Pond,"0.77400000000","1464.00000000000","01100005002876","390","39010","201490560.000000","0","63","0","0","0","15283","544400","453","7551","13768","18834","0","2952","782707","152"
"122973728","00211804",Wapato Pond,"0.07600000000","1231.00000000000","01100005002867","390","39010","201490321.000000","0","24","0","0","0","1889","138882","246","861","0","2497","0","329","74922","4361"
"122968017","00205502",Bigelow Pond,"0.15200000000","1327.00000000000","01100005002850","390","39010","201489803.000000","0","94","0","0","14015","7041","226082","3395","0","0","10585","0","658","149048","888"
"122968016","00206524",Crissey Pond,"0.05500000000","1527.00000000000","01100005002851","390","39009","201489749.000000","0","0","0","0","0","569","76110","791","20135","3549","4128","0","0","54564","0"
"123632793","00205442",Benedict Pond,"0.36400000000","413.00000000000","01080207000753","390","39009","201488652.000000","0","4979","2389","0","0","3084","263683","3185","5630","2342","70187","0","0","249617","128595"
"122967979","00209904",Pond Hill Pond,"0.04100000000","1396.00000000000","01100005002834","390","39010","201489249.000000","0","4174","7992","0","0","509","47600","546","0","2258","27350","0","0","41601","4305"
"123632850","00212181",Winchester Club Pond,"0.08900000000","1178.00000000000","01080207000815","390","39009","201490096.000000","0","7741","16698","0","0","1202","121878","269","0","0","0","0","246","89413","0"
"122973588","00211799",Wangum Lake,"0.72000000000","1491.00000000000","01100005002847","390","39010","201489613.000000","0","7280","8372","0","0","7002","434195","1052","0","0","0","0","0","719188","519"
"123626665","00205394",Beckley Pond,"0.07100000000","1292.00000000000","01080207000786","390","39009","201489648.000000","0","0","0","0","0","469","68016","1944","0","115","127448","0","202","117675","9446"
"123626666","00211044",Spaulding Pond,"0.05200000000","1377.00000000000","01080207000787","390","39009","201489562.000000","0","348","1207","0","0","0","138151","0","0","0","0","0","0","49620","0"
